Blog	here	music	want	how	hot	re	busy	best	never	much	life	things	has	right	old	people	o	winter	st	so	city	take	going	where	vacation	summer	being	world	favorite	her	am	an	as	th	pics	week	see	last	blog	d	spring	be	by	us	video	let	great	baby	thanksgiving	ve	vs	off	work	beach	break	they	away	night	post	months	way	was	welcome	update	live	can	heart	still	not	now	year	friend	that	than	these	two	real	your	month	family	miss	pictures	look	game	some	e	go	halloween	need	years	party	well	home	he	friends	ever	room	before	better	girls	don	m	bad	if	make	thoughts	just	down	weekend	finally	did	mr	boy	crazy	sunday	may	man	rock	girl	morning	thing	think	first	little	show	black	get	tour	again	fall	town	good	another	house	park	part	b	fun	big	boys	random	do	la	ll	red	have	easter	like	about	but	hate	school	end	over	saturday	god	got	free	days	too	snow	wedding	news	been	n	mother	christmas	dinner	why	trip	when	brother	today	birthday	she	coming	season	r	come	check	oh	or	there	really	friday	story	art	c	sweet	long	say	something	our	out	july	who	will	book	know
somisahara	1	0	0	0	1	0	4	1	0	0	4	0	1	0	5	3	1	2	2	0	0	0	0	0	0	4	0	3	0	2	0	0	0	7	0	0	0	2	1	1	2	0	0	0	0	0	1	1	0	0	0	0	5	0	0	0	1	1	0	5	0	0	1	0	0	0	0	3	1	0	7	3	0	0	0	0	0	1	0	2	0	2	0	1	0	2	0	0	0	1	3	0	0	0	3	0	2	0	0	0	0	1	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	6	0	0	0	0	5	1	0	8	1	0	4	0	0	0	0	0	0	0	0	0	2	1	0	1	0	1	0	3	2	0	3	3	0	1	3	0	1	3	8	0	0	4	0	0	0	2	1	0	0	8	0	0	0	1	1	0	0	0	0	0	3	0	0	2	1	0	0	1	0	0	0	0	0	2	0
Judy Jarvie's Jottings	1	0	2	3	4	1	4	1	1	0	1	4	3	1	1	0	1	0	0	2	0	0	2	0	0	0	2	1	0	0	1	1	2	0	1	3	1	0	4	1	0	5	4	0	0	0	1	8	0	2	0	4	0	0	1	0	2	0	1	0	1	0	5	0	0	3	1	2	4	5	4	3	4	1	0	1	0	2	1	1	0	0	2	0	1	2	8	0	0	0	4	2	3	1	0	1	0	0	0	0	2	4	2	5	0	1	4	2	2	1	1	1	0	2	1	2	2	1	3	0	0	0	1	1	0	2	0	0	6	1	1	7	4	0	0	0	0	3	7	0	0	0	4	1	0	2	0	2	2	2	1	1	0	0	0	0	1	6	1	0	2	1	2	3	1	0	5	0	1	0	1	0	6	1	1	2	0	1	1	1	3	5	1	0	0	1	2	2	1	1	1	1	0	5	0	1	0	6	2
f.a.i.r.y.l.i.c.i.o.u.s.	5	0	2	1	1	1	0	3	3	4	11	2	0	0	1	0	2	0	2	8	0	0	1	0	1	0	0	0	0	2	4	0	2	1	2	5	0	8	2	46	0	2	1	0	1	0	3	2	0	1	0	0	4	0	2	0	3	0	1	1	0	1	0	1	0	4	1	3	2	4	2	1	0	0	0	0	1	0	0	0	0	0	1	0	1	8	2	1	3	0	0	0	8	2	1	1	0	0	5	0	1	29	5	0	3	0	2	2	11	1	4	1	0	0	1	0	0	1	0	6	2	0	0	0	0	0	4	0	2	0	1	6	5	0	0	0	13	4	2	1	2	3	0	2	1	2	0	4	1	5	4	0	1	2	1	0	6	0	3	3	1	0	3	8	8	0	0	4	0	4	3	0	1	1	0	0	0	5	0	2	1	3	0	0	3	2	0	0	0	7	1	0	0	8	0	0	0	1	1
Kibbles 'n' Whine	2	0	0	0	0	1	1	1	2	2	0	2	4	0	0	0	0	0	0	5	1	0	0	4	1	1	0	3	1	0	1	0	2	0	0	3	1	1	0	1	0	4	0	1	0	0	1	0	0	2	0	0	0	0	0	2	1	0	0	0	1	2	0	0	0	9	1	2	7	3	3	1	3	2	1	2	0	2	0	0	1	0	0	0	3	0	3	0	3	0	1	1	2	1	3	0	1	1	0	0	0	4	1	2	2	0	4	2	1	4	1	0	1	0	1	1	0	1	0	0	0	2	0	2	1	1	2	0	4	0	2	3	2	0	0	1	0	1	0	0	0	6	0	2	0	5	0	2	1	4	1	0	1	1	1	0	5	1	0	5	0	0	1	2	0	0	1	0	0	0	1	0	2	0	0	1	3	0	0	0	1	4	2	2	12	1	0	0	2	3	0	1	0	2	0	1	0	0	5
In The Life Of...The Beatles	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
friday fun link	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Evin on Earth	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Keele Family	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	3	0	0	1	0	1	1	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	1	0	1	0	3	0	3	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
My World in Pennsylvania and Beyond	2	0	0	0	1	1	0	1	1	0	4	3	3	0	6	0	2	2	28	1	3	1	0	3	2	5	1	11	3	0	1	2	1	2	0	3	0	1	1	2	12	1	4	0	0	4	1	0	0	1	0	2	0	5	0	0	1	0	3	0	3	1	0	0	1	0	0	0	0	2	2	0	2	0	0	0	0	1	0	2	0	0	0	0	0	3	4	0	1	4	0	0	2	0	1	0	0	0	0	0	1	2	1	2	2	0	4	2	1	0	0	1	1	0	0	0	0	1	0	1	0	0	2	2	11	1	2	3	3	1	0	1	4	1	3	1	0	0	2	1	0	2	1	0	2	3	1	2	0	0	1	3	1	1	0	1	1	1	4	0	0	1	1	0	0	2	7	1	0	1	0	1	1	6	0	0	1	1	2	0	2	3	1	0	0	0	2	3	1	1	0	0	1	5	0	1	0	0	0
The Beat	1	12	1	0	1	6	0	12	0	0	2	1	0	0	3	5	4	0	11	4	5	0	0	1	0	1	0	4	1	0	3	1	3	2	0	6	3	1	7	5	0	3	19	0	62	0	2	2	0	0	11	0	1	1	0	1	1	9	3	0	1	1	1	4	36	1	1	3	3	7	3	1	3	2	0	1	3	1	0	3	0	2	1	1	2	9	2	0	0	2	1	0	1	0	1	5	1	2	2	2	1	10	3	1	3	0	3	2	12	0	0	0	3	2	3	4	2	13	1	0	4	0	4	2	14	9	3	8	3	0	2	5	1	1	2	12	5	0	10	3	0	3	8	0	2	1	0	1	4	1	0	5	1	1	7	0	1	5	13	2	0	0	2	1	6	1	6	0	3	0	0	5	1	3	0	21	1	3	1	0	0	0	0	2	14	2	9	1	1	2	1	0	0	6	6	2	2	4	1
Story time with Debby	0	0	0	1	0	1	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	1	0	2	0	2	1	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	1	1	0	1	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	3	1	0	0	2	0	1	0	1	0	0
A little dirt don't hurt	1	0	2	1	1	0	0	0	0	0	0	0	1	0	0	0	3	0	1	2	0	0	1	2	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	8	4	2	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	3	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	1	0	2	2	1	0	0	0	0	0	2	0	0	3	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	3	0	6	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
bramblesnewyork	2	0	0	0	1	0	2	1	1	2	3	0	2	0	0	0	0	0	2	1	0	1	0	1	0	0	0	0	1	0	1	3	0	3	0	1	1	1	0	0	2	1	1	1	0	1	0	5	0	0	1	1	0	0	0	0	0	2	1	1	0	0	0	2	0	2	1	0	3	1	2	1	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	2	3	2	0	0	2	0	0	0	0	0	1	1	2	0	0	0	1	0	2	0	0	0	0	0	0	2	1	0	1	1	0	0	0	2	0	2	1	1	0	0	2	0	0	2	1	0	1	1	0	0	1	0	0	1	1	0	1	1	1	1	3	0	0	0	3	1	0	1	1	0	4	1	3	0	0	0	0	1	0	0	0	0	3	0	3	1	0	1	2	1	0	0	0	3	3	0	1	1	1	0	2	0	0	2	0	1	0	1	0	2	0
The Roman Games Diary	3	3	2	0	3	1	0	2	2	0	2	0	3	0	2	1	0	1	4	4	4	6	1	2	0	3	0	2	0	0	1	0	4	12	0	1	4	0	1	2	1	6	2	3	1	3	1	4	0	0	4	1	0	1	1	3	1	10	0	0	2	2	3	0	11	3	1	3	5	8	4	0	4	3	0	0	2	7	0	0	5	0	2	5	1	3	2	3	1	2	5	1	1	0	1	1	51	1	3	1	4	1	2	1	2	0	1	3	1	4	0	1	0	0	4	2	4	18	2	0	2	0	1	3	5	5	2	4	5	0	2	3	0	2	1	0	1	0	4	1	0	5	2	2	0	4	0	2	4	5	0	0	0	2	3	0	0	5	0	2	4	1	2	0	3	0	0	0	1	1	2	1	0	2	0	2	2	1	8	0	0	1	10	1	1	0	2	10	0	2	2	3	2	8	3	4	1	0	1
Buffalo Gal	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	3	2	0	1	0	0	0
Blogged and Quartered	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	15	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
I don't do mornings!!!	4	1	0	1	1	2	5	1	0	3	2	1	2	1	5	3	1	3	1	4	0	0	0	3	3	3	2	1	0	0	3	3	1	4	2	2	1	1	5	0	0	4	4	0	1	1	7	2	0	0	0	5	3	4	2	0	0	2	7	0	1	3	0	0	0	2	1	1	4	5	8	2	3	0	1	0	1	1	1	2	0	1	2	0	8	1	6	0	0	4	10	0	3	0	0	0	1	0	1	1	0	1	0	0	0	1	5	1	4	1	3	0	2	0	4	1	1	1	1	0	2	2	2	1	2	0	0	0	1	0	0	1	5	2	2	3	0	4	2	1	0	1	1	0	1	6	8	2	1	0	0	9	0	4	0	0	1	0	4	0	0	4	3	3	0	0	9	0	1	1	4	0	5	4	1	0	1	0	0	1	0	2	3	1	11	1	1	1	1	4	1	1	13	6	0	2	0	0	3
a slight exaggeration of the truth	1	0	2	2	0	1	0	2	2	0	6	32	1	0	0	5	0	0	0	4	0	2	1	2	0	0	0	6	0	0	5	7	3	0	0	1	2	1	0	1	0	9	3	0	0	4	2	0	0	6	0	0	1	0	0	0	0	1	0	0	1	3	0	2	0	6	1	1	8	1	4	0	8	0	2	2	1	10	1	0	0	0	1	0	2	0	3	0	0	0	1	2	0	0	0	2	0	0	0	0	5	4	0	3	1	1	5	0	0	0	2	3	0	3	0	0	1	0	1	1	24	0	1	1	0	1	1	0	2	0	1	0	3	0	0	2	1	1	1	0	6	3	0	2	0	1	1	4	2	1	2	2	2	1	0	2	2	3	1	0	1	0	0	1	2	0	0	0	6	0	3	1	0	0	0	2	0	0	0	1	7	3	3	2	0	0	0	0	0	0	0	4	1	3	0	1	1	0	4
Inside Amy's World	2	0	1	2	0	2	0	1	1	0	2	1	2	0	2	1	0	1	1	0	0	1	1	0	0	1	0	3	0	0	2	1	0	2	0	1	2	0	2	2	0	2	3	1	7	0	2	4	4	1	2	0	0	0	0	0	2	3	1	0	0	0	2	1	0	0	2	0	1	2	4	2	0	0	0	1	0	0	0	2	1	4	0	0	1	4	0	1	0	1	4	0	1	1	2	0	1	0	0	0	0	3	0	1	0	2	3	5	1	1	2	3	1	0	1	1	3	0	1	2	0	1	4	4	0	0	0	0	1	2	3	4	2	2	1	0	1	1	4	0	0	2	0	0	0	0	3	1	2	1	0	1	0	6	0	1	3	0	1	1	3	0	1	3	1	1	7	0	0	1	1	0	0	12	3	0	0	0	0	0	3	2	2	0	4	1	0	0	1	0	0	1	5	2	2	1	0	1	2
Looks, Brains and Growing Pains	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	2	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	1	0	1	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0	1	3	0	1	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0
Counting the blessings....	1	0	1	5	0	0	1	0	1	0	7	9	1	0	0	1	1	0	0	8	0	0	1	3	0	1	3	4	0	0	4	2	0	1	0	0	0	3	0	1	4	6	2	2	0	2	0	0	0	0	1	0	0	0	0	1	0	3	5	0	0	3	0	2	2	2	0	2	7	2	0	0	3	1	0	1	0	2	1	0	1	0	1	0	0	0	2	0	1	0	0	1	3	1	1	2	0	0	0	0	6	5	0	3	4	3	2	2	2	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	1	1	0	2	0	0	2	5	0	0	16	1	0	1	1	10	7	0	0	0	2	0	3	0	3	0	0	1	1	1	2	0	0	1	0	0	0	0	1	8	0	7	1	3	5	3	0	2	1	0	1	1	0	2	1	4	2	1	0	1	4	0	1	0	1	1	0	0	1	0	4	2	1	1
YaY!	3	0	0	2	1	3	2	5	0	1	4	1	2	0	0	0	0	2	6	6	1	1	2	0	1	1	1	4	1	0	3	1	2	14	5	2	0	2	1	2	2	5	1	3	1	1	1	10	0	0	0	1	1	4	0	0	2	1	3	0	2	2	2	9	1	1	1	1	4	2	3	0	0	1	0	1	0	4	1	1	1	1	1	2	1	1	2	0	1	2	8	6	11	1	0	2	0	2	2	3	3	5	0	0	0	0	1	0	8	0	1	0	4	1	0	0	2	2	3	0	0	0	6	1	1	1	5	0	3	0	0	1	0	8	2	6	0	2	5	2	5	4	0	0	0	0	1	4	1	6	1	0	2	3	0	1	4	2	2	1	4	10	1	0	2	1	6	1	0	3	0	2	0	30	1	1	0	1	6	0	1	4	0	0	0	1	0	1	1	1	1	1	13	4	3	1	3	1	0
Turkey On The Hill - The Joe Craig Blog	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
here we go	4	0	0	4	0	5	0	2	2	1	1	2	0	0	2	3	2	0	1	3	2	2	2	1	1	0	0	1	2	0	2	1	0	3	1	4	0	0	1	1	0	5	2	1	1	2	4	4	4	2	2	2	1	4	0	0	1	2	1	7	1	1	0	3	0	3	0	2	2	0	2	2	5	0	0	3	1	3	5	4	0	3	1	0	3	2	0	5	1	4	4	0	5	5	1	0	4	0	0	0	1	4	0	2	1	4	3	0	9	0	0	2	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	2	1	2	1	4	0	1	1	2	0	4	5	0	3	0	0	1	0	2	1	3	2	0	1	0	0	1	0	2	1	1	1	1	1	4	1	2	0	0	10	1	0	3	0	2	3	4	0	1	0	0	2	1	1	0	1	2	5	0	0	0	1	0	0	2	1	5	1	1	2	0	0
Jason, Kerstin, Stockton & Chelsie	0	0	0	0	0	1	0	0	0	1	3	1	0	1	2	0	0	0	1	2	1	0	0	0	1	2	1	0	0	1	0	0	1	14	2	1	0	2	0	0	0	0	1	2	0	1	0	7	5	4	0	0	2	0	0	0	0	3	3	16	1	0	0	6	0	0	0	1	1	0	2	1	1	0	0	2	0	1	3	4	3	4	1	3	0	0	1	6	0	2	10	2	4	0	0	0	0	1	0	3	1	1	1	0	1	0	4	0	9	0	0	0	0	0	1	1	0	0	1	0	0	0	4	1	3	0	0	0	0	0	2	0	3	3	1	2	0	2	1	0	1	0	0	1	0	1	4	3	2	0	1	2	0	2	1	0	0	0	0	0	0	5	0	3	0	1	16	4	0	4	0	0	0	12	0	0	0	0	0	0	1	1	1	0	8	2	0	0	0	0	0	0	4	2	6	1	1	1	2
To Have and To Hold...	10	0	0	7	1	4	2	1	3	1	2	1	4	1	4	0	0	2	1	11	0	0	5	7	0	2	0	1	0	0	1	1	2	2	0	5	0	4	3	0	2	6	1	2	1	6	0	4	0	7	2	1	3	0	0	1	3	7	4	2	2	3	0	1	2	6	0	3	5	3	7	0	2	2	0	14	0	3	0	1	1	0	4	3	0	0	4	0	1	5	5	3	1	5	1	0	2	4	1	0	2	1	3	2	0	0	5	0	12	2	6	2	2	1	0	0	1	0	3	1	1	2	4	6	0	6	6	1	2	0	2	3	3	0	0	9	0	0	3	4	0	14	0	0	0	5	0	5	7	3	2	1	2	2	2	1	5	4	4	1	6	1	1	11	0	1	4	3	1	5	2	0	5	8	5	1	1	0	1	0	7	2	4	0	7	0	0	0	1	2	2	1	3	1	0	9	1	0	2
Indecisive	3	2	2	2	1	3	0	3	2	4	13	7	3	1	1	6	0	0	1	8	0	5	4	3	0	3	3	5	4	3	8	7	4	2	0	4	3	0	5	1	0	7	2	0	0	2	1	0	0	4	0	1	0	0	0	3	0	2	4	0	0	7	1	1	2	8	1	3	11	2	3	1	11	2	3	3	1	11	0	5	0	6	1	0	6	1	3	1	3	2	1	5	2	0	1	5	1	0	2	0	9	17	2	4	1	3	17	2	1	0	0	0	1	0	3	1	1	0	2	1	8	5	2	4	1	1	1	0	3	0	0	6	1	0	0	4	1	0	1	0	3	2	0	5	3	5	3	14	5	2	4	2	1	1	0	2	1	1	4	3	0	2	3	3	0	4	0	0	6	0	2	0	12	1	1	0	1	0	4	2	5	3	4	2	0	2	0	2	2	5	1	5	1	6	1	3	2	2	1
veliquified	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	0	1	2	0	0	0	0	0	2	1	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	2	2	0	0	1	1	1	1	0	0	0	2	0	0	2	0	1	0	0	1	3	0	0	1	0	0	2	0	1	0	2	0	0	0	3	0	1	0	1	1	0	1	0	0	0	4	1
"Lives on the Line Where Dreams are Found and Lost"	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	3	95	0	1	0	0	0	0	0	0	1	1	0	0	0	1	4	0	0	1	1	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	2	4	0	1	0	0	0	1	1	0	1	0	1	0	0	0	4	0	2	0	0	0	0	0	0	1	0	0	0	1	1	2	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0
Little Thoughs	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	35	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	8	0	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	13	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	2	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	3	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0
Ashley Kay	2	0	1	2	0	1	1	10	2	1	13	1	1	1	0	0	0	0	1	6	2	0	2	3	1	6	0	3	2	0	3	4	0	1	0	11	1	5	0	0	1	4	0	0	0	5	1	5	3	1	0	1	0	0	4	0	1	2	1	3	0	1	2	2	1	6	0	0	6	3	2	3	3	2	4	1	3	0	4	1	2	0	0	0	1	0	2	3	2	1	3	1	10	0	3	1	0	0	2	1	2	5	1	0	0	0	10	2	12	0	0	0	3	0	0	3	1	0	9	0	0	2	1	7	0	0	2	0	2	4	2	3	3	0	0	0	1	2	3	5	2	1	1	0	0	1	1	3	1	0	0	3	0	1	1	0	0	0	5	0	0	9	0	5	0	1	7	0	2	3	1	4	5	13	0	1	4	0	2	0	5	1	2	2	0	0	0	0	7	0	0	1	1	5	0	0	1	0	3
the problematic outfit	2	0	0	1	1	1	0	0	0	1	2	3	1	0	11	1	1	0	0	0	3	0	1	2	0	2	0	1	1	1	0	1	0	2	2	0	0	1	0	0	0	2	1	1	0	0	1	2	2	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	5	2	1	0	1	0	2	1	1	0	0	0	1	9	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	5	0	0	2	0	1	1	1	0	0	0	0	0	0	0	3	1	1	1	11	4	3	1	0	0	2	0	0	4	1	1	2	0	1	0	0	0	0	3	0	3	0	2	2	2	1	1	0	0	0	0	0	0	0	2	0	1	2	3	1	1	0	0	0	1	1	2	2	1	0	2	0	0	0	1	1	2	1	2	0	0	0	0
Exquisitely Wasted	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0
