Blog hanging	wednesday	travel	fit	size	bottom	grandma	grateful	west	photos	technology	dirty	cream	research	hahaha	details	dogs	kitchen	test	teacher	poor	pool	evening	heavy	american	obviously	similar	links	including	university	tuesday	http	liked	likes	movies	anymore	personal	omg	lovely	dear	afternoon	happening	father	talked	fuck	speaking	label	download	quickly	stuck	apartment	king	wrote	shirt	questions	expect	edit	g	married	joe	kinda	hurt	machine	twitter	theme	babies	current	winter	records	pop	act	ah	al	community	results	jesus	email	co	cd	ball	moments	comments	em	el	breakfast	classic	ahead	nights	march	click	till	ben	language	luck	im	www	daddy	died	skin	pink	gotta	safe	nose	students	search	blood	blogging	y	broken	six	national	center	bus	mp	mr	several	gift	chocolate	color	program	presentation	arrived	planning	brain	create	record	lord	easier	series	tree	shower	previous	son	sign	fish	death	continue	spring	un	uk	fresh	truth	daughter	beach	japan	created	cat	album	card	message	price	history	ya	stopped	usual	lines	based	strange	explain	disco	website	human	join	tears	artist	shop	nearly	members	train	actual	hospital	onto	report	focus	cook	unfortunately	ideas	college	nd	ladies	thursday	basically	v	hotel	mommy	problems	wall	whether	beauty	knowing	smell	truck	slow	complete	certain	consider	dress	currently	hoping	major	produced	upon	tickets	india	office	received	speak	reality	brown	honest	online	notice	building	stayed	beyond	bonus	youtube	mentioned	exactly	woke	bar	die	everybody	soul	stupid	mark	shopping	doctor	tour	collection	mention	south	unless	alive	quick	memory	review	reach	aren	various	amount	choose	conversation	chicken	english	lead	june	service	mouth	singer	cup	roll	choice	matt	pulled	internet	situation	singapore	learning	followed	entire	land	process	realize	web	sarah	coffee	l	john	nobody	hang	easily	musical	josh	update	non	gonna	tracks	station	feels	forgotten	lived	popular	michael	parts	headed	lose	library	star	somehow	performance	among	^	sleeping	enjoying	facebook	restaurant	que	happens	wedding	conference	level	posts	guitar	taste	wife	weight	peace	holiday	fear	feat	opening	wanna	perhaps	cake	episode	fair	possible	began	wondering	spot	vacation	image	passed	original	content	pics	action	keeping	science	information	w	session	recent	hello	standing	david	figured	stage	study	dj	dr	fight	interested	hell	indeed	okay	ground	husband	concert	article	media	ft	jordan	towards	wow	himself	noticed	ha	net	posting	points	items	form	shit	digital	fell	yummy	pain	videos	release	bunch	la	comment	latest	photo	bands	na	events	worse	worst	ten	tea	difficult	health	added	sharing	reasons	sort	cars	itself	example	rd	everywhere	adam	large	gold	cry	available	church	seemed	magic	challenge	system	dan	total	earlier	war	certainly	presented	truly	cannot	celebrate	damn	picked	data	admit	immediately	warm	dog	lazy	opportunity	dreams	managed	film	difference	public	simply	ran	f	apparently	mid	mix	lol	snow	radio	released	slowly	chinese	finding	rainy	remix	related	july	scared	exciting	below	ate	season	punk	sat	pages	org	chase	pieces	haha	law	eventually	holding	market	club	worry	albums	makeup	control	quality	became	japanese	lights	lyrics	daily	lake	everyday	laughing	further	particular	gotten	dancing	meeting	kill	entry	google	ourselves	favourite	sing	de	text	calling	general	helped	soft	j	changed	changes	driving	sky	bye	practice	window	ep	
Here we go	6	3	1	3	6	7	24	3	0	21	0	1	5	0	0	0	1	1	4	2	12	20	4	2	0	3	1	0	1	0	8	0	16	15	2	6	1	0	0	1	1	2	6	2	0	6	0	0	5	6	0	2	3	2	2	2	0	0	2	13	1	3	4	0	6	2	1	2	0	7	0	6	0	0	4	0	0	0	1	4	3	1	0	0	3	0	1	2	2	0	0	0	1	7	0	0	47	0	0	1	3	2	3	1	0	12	1	2	5	12	1	0	0	0	4	12	6	3	2	3	0	4	0	1	0	0	0	4	2	5	2	2	21	2	6	0	0	1	0	0	1	1	5	4	0	0	4	0	0	2	0	0	0	1	0	1	0	1	4	0	1	0	0	0	0	1	0	0	7	3	44	5	0	1	0	12	1	3	0	1	8	1	0	2	33	3	1	0	1	0	1	5	3	6	1	1	2	3	4	4	0	1	5	0	2	1	0	0	2	0	0	3	1	6	0	1	0	12	3	4	1	0	1	0	0	2	1	17	2	0	5	0	1	0	11	6	1	4	2	1	1	2	2	2	0	0	7	0	4	0	0	3	3	0	6	1	1	0	3	4	3	1	6	6	0	12	1	0	1	0	1	3	0	0	29	1	0	0	4	4	0	0	1	0	2	3	1	0	4	3	2	0	0	11	9	0	3	0	3	4	0	3	3	0	3	11	12	0	7	5	0	4	0	4	13	0	5	1	3	2	4	4	1	1	0	3	15	2	5	0	1	1	1	4	15	2	0	9	1	2	0	4	4	3	0	0	0	1	6	0	0	0	4	0	0	3	27	4	0	1	9	0	2	4	0	0	5	1	8	0	0	5	0	0	7	9	1	0	1	3	2	1	2	2	2	2	3	0	1	3	0	0	5	2	0	2	0	4	1	0	6	0	3	3	85	3	5	0	3	1	2	0	3	0	7	0	6	2	3	3	0	2	0	1	0	3	1	0	3	6	10	1	2	0	15	2	2	1	2	0	1	0	0	12	3	5	8	3	4	0	6	0	0	3	1	0	2	1	13	0	0	3	0	0	8	4	2	0	0	0	1	5	2	8	5	1	5	1	0	2	0	0	4	0	4	0	0	1	0	6	1	0	4	0	5	2	7	0	2	0	
One Dave's Blog	11	3	11	5	7	10	0	1	3	4	3	2	0	0	0	2	8	19	0	3	10	3	13	8	10	3	4	1	8	0	15	3	7	3	9	26	15	0	6	0	15	7	0	28	2	14	1	1	5	9	32	2	16	10	1	10	3	3	2	5	58	4	4	0	2	0	34	18	0	4	9	4	0	0	0	0	25	6	6	4	7	2	4	0	18	0	4	13	0	2	0	11	1	19	0	4	0	4	2	1	8	6	6	0	7	8	16	155	6	2	1	2	1	1	3	29	2	2	2	10	0	8	9	19	5	16	0	3	2	7	7	10	4	10	3	2	17	3	0	1	6	1	0	0	0	2	17	9	19	9	7	7	28	26	30	13	5	10	13	0	5	6	2	3	1	10	27	3	14	20	8	5	6	5	15	15	2	3	3	0	21	1	7	3	0	6	15	5	2	14	4	12	11	10	10	4	2	19	15	3	1	14	3	0	34	6	11	5	1	0	26	7	22	0	2	2	2	9	5	15	5	1	60	3	37	3	21	9	1	2	7	12	4	6	5	7	0	2	11	6	10	3	6	2	2	10	2	8	5	1	7	5	11	13	23	11	14	0	0	4	14	6	7	4	4	0	13	0	4	35	11	4	0	0	1	14	23	5	9	11	12	12	0	1	7	21	8	5	2	11	1	4	1	10	3	7	6	0	9	0	2	9	8	6	2	2	7	124	12	14	0	6	0	8	4	8	2	11	2	16	10	8	7	11	1	4	8	5	10	1	2	1	1	15	41	8	0	19	2	2	0	8	1	4	56	8	137	4	2	5	0	3	0	0	15	18	8	14	40	2	30	2	1	9	19	14	8	0	8	0	3	7	0	8	5	2	1	0	9	22	13	10	0	8	2	4	6	8	1	23	9	9	10	3	0	16	0	10	14	2	14	1	1	7	0	14	19	2	7	0	6	4	1	65	11	1	6	10	3	25	34	7	31	10	0	9	9	18	11	4	0	4	7	0	22	23	1	7	2	14	3	0	4	1	5	3	9	8	16	1	6	3	0	1	2	0	2	7	8	9	5	11	0	0	7	2	7	1	8	5	10	5	13	12	1	8	26	2	7	4	0	1	1	0	6	0	7	12	7	5	2	1	20	5	62	2	0	5	17	0	
ups	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
to grow to learn to love to live...	5	3	2	2	2	1	1	0	2	15	0	1	2	2	0	1	1	1	3	2	4	1	0	2	11	9	0	1	3	4	7	3	6	1	6	11	3	0	5	7	3	5	4	3	1	4	0	0	0	11	4	0	6	3	8	3	0	0	6	0	11	26	1	2	1	6	0	4	0	0	1	1	3	0	0	21	0	3	2	1	0	3	2	0	0	0	6	2	2	6	0	2	2	0	0	3	3	6	0	1	0	2	1	2	0	4	3	0	9	5	0	0	1	0	1	0	0	7	5	2	1	1	1	3	5	1	28	6	3	6	1	3	1	3	1	2	1	1	1	0	2	7	2	13	0	5	1	0	10	1	0	0	2	7	2	1	2	7	6	0	5	9	2	1	1	5	3	1	4	2	0	1	3	0	0	3	3	10	2	4	5	10	2	1	5	3	1	4	6	10	1	1	2	4	4	2	1	2	6	2	0	2	1	0	2	1	2	4	2	9	3	2	5	2	1	0	1	3	11	3	1	4	1	9	8	2	4	1	1	0	4	10	5	2	0	5	0	0	15	1	1	8	3	1	1	3	3	0	2	1	1	2	14	1	0	1	0	0	3	0	7	1	4	7	1	0	8	0	11	0	8	3	0	6	3	8	22	0	0	11	4	12	0	3	4	1	4	0	9	11	0	0	0	4	1	10	0	0	14	9	0	3	2	5	4	1	1	5	1	10	0	2	2	0	2	2	3	7	3	5	0	4	2	0	3	1	10	3	1	1	1	0	1	2	8	1	3	1	2	2	0	2	2	3	8	1	1	1	5	1	2	20	3	0	5	8	4	1	6	0	0	1	0	2	3	0	1	2	5	1	0	2	0	3	0	7	3	0	3	2	6	3	6	8	4	1	6	3	8	0	6	6	1	3	0	0	2	5	0	16	1	0	1	2	0	4	0	4	6	2	19	12	0	1	2	0	0	0	5	2	3	2	9	0	7	8	2	1	3	1	7	2	0	0	10	1	0	0	2	1	0	0	1	2	9	6	2	3	5	0	0	0	4	0	2	3	3	2	3	1	0	18	1	0	5	2	4	1	3	1	1	1	2	3	1	4	3	1	4	8	0	0	3	0	3	3	1	2	2	0	0	0	3	3	8	3	0	1	4	0	
The Wasted Youth Sound System	0	0	1	1	0	0	0	0	1	1	0	3	0	1	0	2	0	0	0	0	0	1	0	1	0	2	1	0	1	0	3	3	0	1	0	2	1	1	0	0	0	1	0	0	11	0	0	3	1	0	0	0	0	1	0	1	12	0	0	0	7	0	0	2	0	1	1	0	0	3	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	2	1	0	0	0	3	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	2	5	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	1	0	1	0	0	5	1	1	0	1	0	0	1	0	0	1	0	0	1	0	1	2	0	0	0	1	1	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	4	1	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	1	0	2	0	0	0	6	0	0	1	0	3	0	0	0	2	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	3	2	6	5	0	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	2	0	1	0	0	0	1	1	0	0	0	0	0	1	0	5	3	3	0	0	0	0	1	0	0	1	0	0	0	5	2	1	1	0	0	0	3	0	2	1	0	0	0	1	0	29	2	0	1	0	0	1	0	0	1	1	0	3	0	0	0	0	0	1	0	2	0	0	0	8	0	1	0	0	3	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	3	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	2	0	1	0	0	13	1	0	3	0	0	0	0	0	34	1	1	0	0	4	0	0	2	2	0	1	1	0	0	0	1	1	0	9	0	0	0	0	2	0	0	0	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
free-mixtapes/downloads promotional use only	0	1	0	0	0	0	0	0	20	4	0	9	3	0	0	2	0	1	0	0	1	0	1	3	2	0	0	11	10	1	1	192	0	3	0	1	0	0	0	4	0	0	2	0	8	1	7	150	1	2	0	14	0	0	0	2	8	44	0	12	0	1	3	97	3	0	1	1	17	10	4	0	0	2	0	3	9	18	8	4	0	6	8	2	0	7	0	1	0	26	3	7	0	3	20	276	5	0	0	1	6	1	0	0	0	2	0	15	2	0	0	1	0	9	21	2	1	0	0	0	0	0	0	1	1	4	2	0	12	0	0	1	3	5	1	2	1	1	0	23	31	4	0	1	0	1	1	44	2	0	1	2	9	0	1	1	2	3	0	0	12	0	2	1	35	1	0	2	1	0	0	1	0	3	6	0	1	3	3	4	0	0	44	0	0	2	5	1	1	0	1	0	4	2	0	0	0	7	0	8	94	0	1	0	0	3	1	1	29	0	2	0	0	1	0	8	51	0	0	1	1	10	1	9	4	3	0	0	8	0	0	13	0	1	2	1	2	0	1	6	1	0	0	0	0	3	6	0	0	2	7	7	5	1	0	2	1	0	0	0	3	1	0	0	1	0	0	25	7	5	1	0	2	0	0	5	2	15	1	1	0	0	0	2	1	0	1	0	17	0	2	0	0	1	0	74	0	1	0	0	0	3	1	0	0	1	1	4	2	0	191	2	4	0	2	0	1	1	5	0	6	1	2	0	7	1	2	2	0	0	9	8	0	3	3	1	28	0	4	0	316	4	1	1	4	0	1	3	0	4	2	5	391	3	4	5	6	0	0	5	0	0	0	0	9	15	0	1	15	7	14	0	11	0	8	0	0	4	4	0	1	1	0	0	0	0	2	1	0	1	0	0	9	4	2	1	2	4	3	1	2	4	0	0	1	0	0	2	0	2	1	0	1	0	1	0	0	1	1	1	4	1	1	0	0	0	2	0	1	161	0	8	17	2	0	27	8	0	0	0	0	162	0	6	2	2	8	1	1	0	0	4	4	4	2	0	1	1	0	1	34	0	0	0	0	3	0	0	12	4	1	0	2	0	1	0	0	1	1	10	0	4	1	1	0	2	5	2	8	3	3	105	0	1	0	4	1	0	0	5	
The Hemming Family	2	2	1	5	2	4	30	45	1	0	0	1	7	0	0	4	0	4	1	1	1	3	7	0	1	3	0	1	4	0	1	2	3	4	2	5	4	0	2	1	3	6	7	1	0	2	0	0	6	2	2	2	0	1	0	2	0	4	3	2	5	2	0	0	2	13	0	4	0	0	0	0	0	1	2	7	0	0	0	3	2	0	0	0	11	0	2	5	3	0	0	0	2	0	0	1	13	1	2	2	2	1	3	0	0	0	1	0	0	0	0	1	7	0	3	4	6	5	2	0	0	6	1	0	0	0	2	1	0	2	2	0	3	2	9	0	1	5	1	0	2	2	8	4	0	0	2	0	2	0	1	3	6	2	1	0	0	0	6	0	1	0	0	3	0	6	0	0	1	0	10	1	0	0	3	0	1	3	2	0	10	5	0	4	23	0	1	2	3	1	5	0	1	1	0	1	5	0	2	0	0	1	1	0	4	0	4	0	2	1	0	0	0	8	1	0	0	0	1	7	7	1	15	1	0	0	10	6	2	0	2	0	0	0	1	1	0	2	2	0	2	1	0	4	0	0	4	0	2	0	1	4	3	2	2	1	0	0	2	1	3	2	1	1	1	0	1	1	0	0	0	1	2	149	0	0	1	0	2	2	0	4	0	3	3	18	0	4	2	0	0	0	0	9	3	2	5	0	3	2	1	1	1	1	2	6	0	0	3	1	0	1	1	2	7	0	1	1	1	3	2	1	0	0	0	1	9	0	0	0	0	0	0	1	0	3	0	8	1	0	0	5	1	1	0	1	8	1	12	0	1	0	0	0	0	2	9	0	0	0	6	1	3	0	0	0	6	10	12	0	0	6	0	3	0	1	0	0	3	2	0	4	4	2	2	1	2	9	0	5	0	4	0	0	0	0	0	2	0	11	8	1	0	0	0	0	3	0	0	0	1	0	5	0	6	0	6	1	2	3	0	0	0	0	0	1	2	0	3	1	2	0	0	0	6	0	0	1	2	1	199	0	0	3	5	4	3	8	0	0	8	0	0	0	0	0	12	0	6	2	1	1	0	1	0	0	0	0	4	0	2	2	6	4	0	1	2	4	7	1	0	1	2	0	0	0	0	0	2	9	3	0	4	0	5	1	2	0	0	0	
All Scattered	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
North by East West	1	5	0	0	2	1	0	0	11	14	1	3	0	0	0	1	3	0	1	1	2	0	9	1	3	0	0	0	4	2	5	16	0	2	0	0	0	0	0	1	0	2	1	0	6	0	5	19	0	0	0	1	1	0	0	0	0	0	0	1	0	1	4	1	1	0	0	3	16	13	3	0	4	3	0	0	2	5	20	5	0	0	1	4	1	1	0	5	38	0	1	4	1	0	1	7	0	0	0	2	0	0	0	1	0	3	0	0	15	1	4	0	0	1	2	2	0	1	0	0	0	0	0	0	1	17	0	0	3	0	1	0	0	3	6	1	1	5	1	0	3	2	1	3	1	2	3	31	0	1	0	1	0	0	0	0	5	1	0	1	5	0	2	0	13	0	1	6	1	0	0	0	0	1	1	0	0	4	5	1	15	0	2	4	0	0	1	0	2	0	0	0	1	1	0	0	0	4	1	0	4	3	6	0	3	0	0	0	4	2	7	1	0	0	0	1	5	0	1	0	5	0	0	1	0	2	0	0	63	4	0	3	0	2	1	0	36	0	0	0	2	0	0	0	0	7	19	0	0	6	0	3	0	2	3	1	3	0	0	2	1	3	1	0	0	2	0	1	7	0	0	1	7	3	0	0	0	2	2	0	0	1	3	2	2	1	0	6	1	0	14	2	0	2	1	6	2	0	2	0	1	0	1	4	0	1	0	1	1	1	0	3	0	0	0	0	2	0	1	0	1	0	0	0	3	2	0	1	1	0	0	31	1	3	0	0	3	0	14	0	2	0	2	2	6	0	0	0	0	21	4	1	5	0	0	0	0	0	0	1	0	1	0	5	1	0	0	0	0	4	43	0	6	0	9	11	16	0	3	0	0	0	0	1	2	1	1	0	0	1	0	0	4	1	1	1	1	0	10	2	3	2	1	0	15	1	0	1	0	1	1	0	5	2	1	0	0	2	1	6	0	1	0	0	8	0	3	0	0	0	2	1	4	0	2	6	25	0	0	1	0	0	1	12	0	1	1	0	1	2	5	0	0	1	1	0	0	0	0	1	11	1	6	0	0	0	3	0	1	3	0	7	0	0	0	2	0	0	0	0	0	5	0	3	1	2	0	0	1	0	0	1	1	0	1	2	0	1	1	19	
GIMME TINNITUS blogspot	0	2	1	1	0	0	0	0	7	3	2	11	2	0	0	0	14	0	2	0	0	0	1	4	4	0	1	11	0	0	7	6	5	0	0	1	0	1	4	1	1	3	1	0	18	15	10	41	0	7	0	7	5	1	2	2	8	22	0	5	6	2	13	2	3	3	4	3	73	70	9	0	0	1	2	9	2	3	25	0	1	1	8	20	1	8	1	1	6	10	0	5	2	1	0	0	0	1	5	9	1	5	0	0	1	10	2	15	10	0	4	1	0	959	15	0	3	0	4	0	0	0	1	2	3	21	1	0	8	4	0	1	2	0	0	17	0	0	2	1	2	4	0	8	0	1	7	122	2	1	0	5	0	0	2	1	8	1	0	12	12	0	0	3	10	13	0	6	0	0	1	0	1	4	1	4	1	5	5	8	1	0	10	6	0	0	4	0	0	0	0	2	4	1	2	152	0	1	5	6	5	3	1	1	1	2	1	0	1	0	1	0	0	0	1	65	62	4	0	0	2	7	3	4	1	4	0	0	12	2	1	1	3	2	5	1	9	0	1	0	2	3	0	3	2	2	0	3	0	3	1	10	1	22	2	5	3	0	0	0	1	4	1	2	5	1	2	8	7	1	3	0	3	1	6	8	10	36	1	1	0	0	1	2	17	4	1	4	6	2	11	6	0	0	1	1	1	1	0	1	0	0	100	17	3	0	0	3	2	2	3	0	0	4	10	1	6	0	0	2	10	2	3	1	21	0	4	3	1	2	1	12	36	18	9	0	7	1	2	0	7	4	4	1	2	0	0	2	0	2	0	2	0	0	0	3	1	4	1	423	7	5	1	4	11	12	0	0	0	3	33	8	17	2	34	1	7	0	0	0	0	8	0	0	41	0	0	1	1	0	3	0	8	5	3	3	10	0	45	0	1	8	0	2	10	2	9	7	1	2	0	0	2	11	3	1	6	0	0	5	2	1	1	0	2	0	5	1	0	6	2	6	45	0	3	13	13	2	3	0	1	85	5	10	0	1	9	0	0	12	0	1	12	0	2	2	2	0	0	6	5	2	41	0	2	0	0	2	3	4	10	3	1	0	7	1	0	1	6	8	0	1	0	1	1	11	0	1	0	2	14	4	0	2	1	2	0	0	6	40	
P-MONEY	3	5	4	4	1	1	0	1	3	0	1	28	0	0	0	7	0	0	0	0	0	1	2	4	1	1	0	1	5	0	3	3	2	1	1	1	2	0	2	0	2	2	3	0	4	5	5	11	4	1	0	2	1	1	5	5	8	3	1	0	7	1	2	11	7	0	10	1	18	4	0	0	0	0	4	2	1	21	10	0	0	4	1	0	13	6	5	4	6	6	0	5	0	4	33	6	0	0	0	0	8	4	1	1	2	0	5	2	0	1	2	1	1	2	9	0	0	0	0	1	0	9	1	2	5	35	1	1	0	0	0	1	0	2	0	2	3	0	0	67	9	1	0	3	0	1	1	72	3	0	3	3	12	3	7	2	1	0	2	3	5	1	4	0	10	0	2	2	0	1	0	0	1	0	0	3	0	0	7	2	8	1	3	5	0	5	0	2	0	0	2	0	4	5	2	1	0	3	2	5	27	3	7	0	1	1	2	1	0	4	9	3	1	0	1	3	8	2	1	1	13	1	5	9	0	4	1	1	19	0	4	8	0	0	9	1	8	0	0	4	2	2	2	0	0	5	5	2	0	1	0	4	6	1	0	2	1	0	0	4	5	0	13	0	3	0	1	0	2	1	0	4	3	0	2	0	12	22	8	0	2	1	5	0	9	0	2	0	2	2	11	0	0	1	2	1	1	0	1	0	2	1	3	0	1	1	0	0	1	1	12	3	5	0	0	1	5	1	1	0	8	0	3	1	15	3	3	1	3	0	2	2	3	1	0	2	77	2	15	0	64	1	3	3	4	1	0	1	0	4	0	4	37	1	2	2	3	2	7	3	2	1	0	1	28	12	2	0	1	5	18	4	3	0	10	0	1	0	5	0	4	2	0	1	1	9	4	1	2	0	0	1	11	1	0	1	14	2	20	1	2	7	1	5	0	5	1	0	2	1	7	1	3	4	3	0	1	3	0	0	0	1	1	4	7	1	7	1	1	6	1	0	19	12	1	41	5	0	0	0	0	28	2	2	1	2	7	2	1	0	2	1	0	0	3	3	0	3	2	2	21	3	4	0	1	4	1	0	0	5	1	0	1	0	3	4	0	1	3	2	0	5	0	13	0	2	1	5	0	0	0	13	0	0	0	1	0	4	0	4	
sarah jane	5	6	1	3	2	2	3	9	3	5	2	5	9	0	1	1	6	9	3	6	1	2	2	1	9	4	0	1	7	0	4	11	8	6	15	8	10	0	10	15	2	3	1	1	0	10	1	0	1	5	3	1	3	4	1	0	0	2	12	0	3	2	2	1	0	3	4	2	1	3	1	4	1	3	1	1	1	3	6	2	6	0	0	1	5	7	3	6	6	16	1	4	3	2	0	14	1	0	0	4	0	1	3	0	9	0	8	1	2	4	0	2	1	0	2	1	16	13	3	1	0	2	8	0	1	1	7	5	2	8	5	0	0	3	2	1	2	12	2	0	5	0	0	14	0	1	3	5	7	3	11	3	18	1	1	1	1	0	6	1	4	3	1	2	5	5	1	1	0	5	0	4	0	2	7	1	6	4	1	2	5	9	0	1	0	1	7	3	3	0	2	1	3	2	2	1	6	5	4	0	0	5	2	1	3	0	2	2	1	3	1	1	1	3	1	1	0	5	4	4	2	1	2	2	4	0	8	1	2	3	5	0	6	2	5	1	1	1	5	0	5	7	2	5	0	0	3	6	3	1	3	8	4	8	1	2	2	0	2	2	4	2	2	4	1	19	1	4	3	0	4	1	2	0	3	4	6	1	1	4	2	3	0	6	3	0	2	4	8	4	0	2	2	1	10	10	4	1	9	26	2	0	3	0	2	0	0	7	6	0	0	0	2	1	31	3	7	5	6	5	2	5	2	1	1	0	3	2	3	1	0	1	1	2	11	0	0	2	1	4	1	2	2	10	0	6	20	2	12	4	3	1	0	0	0	6	4	4	15	2	2	5	6	2	0	0	5	2	1	1	0	3	7	2	0	9	0	0	3	1	5	7	0	0	2	2	9	5	7	1	5	4	3	4	5	1	3	3	3	4	5	3	1	0	1	7	2	1	0	0	7	2	8	0	3	0	2	3	7	4	2	8	3	0	6	0	2	2	6	5	2	2	6	0	6	3	0	1	0	0	0	0	0	12	3	11	8	6	10	1	1	2	0	1	5	11	6	1	1	0	13	5	0	0	3	2	4	0	5	10	12	19	1	4	0	3	4	4	1	3	2	4	5	0	2	4	3	3	5	6	7	4	1	2	10	1	3	3	4	0	
